# ID,Prediction,SP(Sec/SPI),OTHER,CS Position
Cre08.g373344.t1.1,OTHER,0.002048,0.9979520000000001,
Cre08.g369400.t1.2,OTHER,0.0006129999999999999,0.999387,
Cre08.g380500.t1.2,OTHER,0.000982,0.9990180000000001,
Cre08.g381650.t1.1,OTHER,0.002472,0.9975280000000001,
Cre08.g377300.t1.1,OTHER,0.034904000000000004,0.965096,
Cre08.g376050.t1.1,OTHER,0.001558,0.998442,
Cre08.g379600.t1.1,OTHER,0.004242,0.995758,
Cre08.g361900.t1.2,OTHER,0.0028399999999999996,0.99716,
Cre08.g366874.t1.2,OTHER,0.000207,0.999793,
Cre08.g378550.t1.2,OTHER,0.000479,0.9995209999999999,
Cre08.g367150.t1.1,OTHER,0.045897,0.954103,
Cre08.g367150.t2.1,OTHER,0.045897,0.954103,
Cre08.g373369.t1.1,OTHER,0.001168,0.9988319999999999,
Cre08.g366400.t1.2,OTHER,0.003258,0.996742,
Cre08.g366400.t2.1,OTHER,0.003258,0.996742,
Cre08.g358575.t1.1,OTHER,0.002775,0.997225,
Cre08.g385050.t1.1,OTHER,0.002745,0.9972549999999999,
Cre08.g361950.t1.1,OTHER,0.002726,0.997274,
Cre08.g361950.t2.1,OTHER,0.002726,0.997274,
Cre08.g358561.t1.1,OTHER,0.17472100000000002,0.8252790000000001,
Cre08.g365664.t1.2,OTHER,0.004379999999999999,0.9956200000000001,
Cre08.g381200.t1.1,OTHER,0.007912,0.992088,
Cre08.g372500.t1.2,OTHER,0.001818,0.998182,
Cre08.g375500.t1.2,OTHER,0.0009339999999999999,0.999066,
Cre08.g382800.t1.2,OTHER,0.004582999999999999,0.995417,
Cre08.g368750.t1.1,OTHER,0.008425,0.991575,
Cre08.g373349.t1.1,OTHER,0.0028829999999999997,0.997117,
Cre08.g373349.t2.1,OTHER,0.0028829999999999997,0.997117,
Cre08.g373349.t3.1,OTHER,0.0028829999999999997,0.997117,
Cre08.g381400.t1.2,OTHER,0.0010019999999999999,0.9989979999999999,
Cre08.g358527.t1.1,OTHER,0.003055,0.9969450000000001,
Cre08.g358554.t1.1,OTHER,0.001771,0.998229,
Cre08.g361750.t1.1,OTHER,0.0016300000000000002,0.9983700000000001,
Cre08.g361400.t1.2,OTHER,0.005265,0.994735,
Cre08.g385300.t1.2,OTHER,0.037415,0.962585,
Cre08.g364775.t1.2,OTHER,0.000643,0.9993569999999999,
Cre08.g358553.t1.1,OTHER,0.003085,0.996915,
Cre08.g373100.t1.1,OTHER,0.002897,0.9971030000000001,
Cre08.g371801.t1.2,OTHER,0.006092,0.993908,
Cre08.g374300.t1.1,OTHER,0.0011480000000000001,0.9988520000000001,
Cre08.g374200.t1.1,OTHER,0.0026079999999999996,0.9973920000000001,
Cre08.g360600.t1.1,OTHER,0.003625,0.996375,
Cre08.g360750.t1.1,OTHER,0.0014759999999999999,0.998524,
Cre08.g370850.t1.1,OTHER,0.000901,0.999099,
Cre08.g358547.t1.1,OTHER,0.000745,0.9992549999999999,
Cre08.g378200.t1.2,OTHER,0.001294,0.998706,
Cre08.g381000.t1.2,OTHER,0.073817,0.926183,
Cre08.g369250.t1.2,OTHER,0.003507,0.9964930000000001,
Cre08.g383550.t1.2,OTHER,0.000609,0.999391,
Cre08.g365720.t1.1,OTHER,0.0032020000000000004,0.996798,
Cre08.g362300.t1.1,OTHER,0.000877,0.999123,
Cre08.g362800.t1.2,OTHER,0.001955,0.9980450000000001,
Cre08.g376250.t1.1,OTHER,0.00066,0.99934,
Cre08.g371600.t1.2,OTHER,0.000517,0.999483,
Cre08.g369000.t1.1,OTHER,0.000755,0.999245,
Cre08.g358555.t1.1,OTHER,0.001912,0.998088,
Cre08.g382515.t1.1,OTHER,0.000883,0.999117,
Cre08.g372400.t1.2,OTHER,0.001021,0.9989790000000001,
Cre08.g377700.t1.1,OTHER,0.001003,0.9989969999999999,
Cre08.g361650.t1.1,SP(Sec/SPI),0.988474,0.011526,CS pos: 22-23. AGA-QR. Pr: 0.5184
Cre08.g373764.t1.1,OTHER,0.014674000000000001,0.985326,
Cre08.g379750.t1.2,OTHER,0.0008960000000000001,0.9991040000000001,
Cre08.g385200.t1.1,OTHER,0.000339,0.999661,
Cre08.g362150.t1.1,OTHER,0.003288,0.996712,
Cre08.g383900.t1.1,OTHER,0.00409,0.9959100000000001,
Cre08.g373375.t1.1,OTHER,0.00179,0.99821,
Cre08.g374550.t1.2,OTHER,0.006957,0.993043,
Cre08.g382750.t1.1,OTHER,0.05266799999999999,0.947332,
Cre08.g376720.t1.1,SP(Sec/SPI),0.9888170000000001,0.011183,CS pos: 25-26. ISA-QQ. Pr: 0.7356
Cre08.g376720.t2.1,OTHER,0.0035909999999999996,0.996409,
Cre08.g378650.t1.2,OTHER,0.000575,0.999425,
Cre08.g358200.t1.1,OTHER,0.0017879999999999999,0.9982120000000001,
Cre08.g358200.t2.1,OTHER,0.0017879999999999999,0.9982120000000001,
Cre08.g358570.t1.1,OTHER,0.00125,0.99875,
Cre08.g369500.t1.2,OTHER,0.028988999999999997,0.9710110000000001,
Cre08.g370450.t1.2,OTHER,0.001891,0.998109,
Cre08.g358529.t1.1,OTHER,0.000583,0.999417,
Cre08.g384750.t1.1,OTHER,0.001413,0.9985870000000001,
Cre08.g382545.t1.1,OTHER,0.001568,0.998432,
Cre08.g367950.t1.1,OTHER,0.0025629999999999997,0.9974370000000001,
Cre08.g358569.t1.1,SP(Sec/SPI),0.994152,0.005848,CS pos: 25-26. VQA-KA. Pr: 0.7780
Cre08.g373428.t1.1,OTHER,0.002951,0.997049,
Cre08.g366300.t1.1,OTHER,0.0007740000000000001,0.9992260000000001,
Cre08.g362650.t1.1,OTHER,0.040279,0.9597209999999999,
Cre08.g382575.t1.1,OTHER,0.001557,0.9984430000000001,
Cre08.g358535.t1.1,OTHER,0.000787,0.9992129999999999,
Cre08.g373583.t1.1,OTHER,0.259387,0.740613,
Cre08.g373583.t2.1,OTHER,0.29225500000000004,0.707745,
Cre08.g372650.t1.2,OTHER,0.002147,0.9978530000000001,
Cre08.g367350.t1.2,OTHER,0.004807,0.995193,
Cre08.g365103.t1.1,SP(Sec/SPI),0.872066,0.127934,CS pos: 19-20. VFS-AR. Pr: 0.7202
Cre08.g358522.t1.1,SP(Sec/SPI),0.984613,0.015387,CS pos: 23-24. ASA-SR. Pr: 0.6755
Cre08.g373407.t1.1,OTHER,0.001593,0.9984069999999999,
Cre08.g379576.t1.1,OTHER,0.003118,0.9968819999999999,
Cre08.g359450.t1.2,OTHER,0.001134,0.998866,
Cre08.g374900.t1.2,OTHER,0.343966,0.656034,
Cre08.g373362.t1.1,OTHER,0.0027429999999999998,0.997257,
Cre08.g380350.t1.2,OTHER,0.002838,0.9971620000000001,
Cre08.g378351.t1.1,OTHER,0.054311,0.9456889999999999,
Cre08.g367800.t1.2,OTHER,0.0009140000000000001,0.999086,
Cre08.g375550.t1.2,OTHER,0.090276,0.909724,
Cre08.g363800.t1.1,OTHER,0.001301,0.998699,
Cre08.g373300.t1.1,SP(Sec/SPI),0.9925129999999999,0.007487000000000001,CS pos: 30-31. AEG-QS. Pr: 0.8534
Cre08.g368800.t1.2,OTHER,0.00134,0.99866,
Cre08.g368800.t2.1,OTHER,0.00134,0.99866,
Cre08.g365027.t1.1,OTHER,0.0017289999999999999,0.9982709999999999,
Cre08.g361984.t1.2,OTHER,0.0028399999999999996,0.99716,
Cre08.g378000.t1.2,OTHER,0.000389,0.999611,
Cre08.g368350.t1.1,OTHER,0.001347,0.998653,
Cre08.g362450.t1.2,OTHER,0.000294,0.999706,
Cre08.g385675.t1.1,OTHER,0.002285,0.997715,
Cre08.g359567.t1.2,OTHER,0.0034289999999999998,0.9965709999999999,
Cre08.g359567.t2.1,OTHER,0.0034289999999999998,0.9965709999999999,
Cre08.g373373.t1.1,OTHER,0.00253,0.9974700000000001,
Cre08.g363650.t1.1,OTHER,0.160875,0.839125,
Cre08.g358650.t1.1,OTHER,0.003011,0.9969889999999999,
Cre08.g369950.t1.1,OTHER,0.00903,0.99097,
Cre08.g381983.t1.1,OTHER,0.000959,0.999041,
Cre08.g381983.t2.1,OTHER,0.000959,0.999041,
Cre08.g384200.t1.2,OTHER,0.000364,0.9996360000000001,
Cre08.g382250.t1.2,OTHER,0.0016809999999999998,0.9983190000000001,
Cre08.g374250.t1.1,SP(Sec/SPI),0.635584,0.36441599999999996,CS pos: 37-38. SDA-LQ. Pr: 0.4693
Cre08.g383350.t1.1,OTHER,0.0014960000000000002,0.9985040000000001,
Cre08.g358542.t1.1,OTHER,0.002949,0.997051,
Cre08.g378500.t1.1,OTHER,0.001218,0.998782,
Cre08.g377251.t1.1,OTHER,0.000967,0.999033,
Cre08.g370500.t1.1,OTHER,0.002428,0.9975719999999999,
Cre08.g359850.t1.1,OTHER,0.006353,0.993647,
Cre08.g368150.t1.1,OTHER,0.001308,0.998692,
Cre08.g361300.t1.1,SP(Sec/SPI),0.7831060000000001,0.216894,CS pos: 23-24. ALG-RG. Pr: 0.2640
Cre08.g365692.t1.1,OTHER,0.001086,0.998914,
Cre08.g358500.t1.2,OTHER,0.000434,0.999566,
Cre08.g368300.t1.1,OTHER,0.003689,0.9963110000000001,
Cre08.g385800.t1.1,OTHER,0.002516,0.997484,
Cre08.g367050.t1.1,OTHER,0.000684,0.999316,
Cre08.g358568.t1.1,SP(Sec/SPI),0.714892,0.285108,CS pos: 43-44. TSA-MR. Pr: 0.3079
Cre08.g359600.t1.2,OTHER,0.48828599999999994,0.511714,
Cre08.g382716.t1.1,OTHER,0.00141,0.99859,
Cre08.g382716.t2.1,OTHER,0.00141,0.99859,
Cre08.g370300.t1.2,OTHER,0.000938,0.9990620000000001,
Cre08.g383950.t1.1,OTHER,0.003654,0.996346,
Cre08.g358450.t1.2,OTHER,0.006569,0.993431,
Cre08.g358250.t1.2,OTHER,0.002313,0.9976870000000001,
Cre08.g386050.t1.2,OTHER,0.027326,0.9726739999999999,
Cre08.g373346.t1.1,SP(Sec/SPI),0.9862350000000001,0.013765000000000001,CS pos: 17-18. LQA-CD. Pr: 0.5152
Cre08.g360300.t1.2,OTHER,0.001029,0.9989709999999999,
Cre08.g372050.t1.2,OTHER,0.0009289999999999999,0.9990709999999999,
Cre08.g372350.t1.1,OTHER,0.001218,0.998782,
Cre08.g385350.t1.1,OTHER,0.002017,0.997983,
Cre08.g358528.t1.1,OTHER,0.00045700000000000005,0.9995430000000001,
Cre08.g373341.t1.1,OTHER,0.006773,0.9932270000000001,
Cre08.g384650.t1.2,OTHER,0.002462,0.9975379999999999,
Cre08.g378700.t1.2,OTHER,0.000466,0.999534,
Cre08.g361250.t1.1,OTHER,0.002774,0.9972260000000001,
Cre08.g373374.t1.1,OTHER,0.0024690000000000003,0.997531,
Cre08.g373374.t2.1,OTHER,0.0024690000000000003,0.997531,
Cre08.g362950.t1.1,SP(Sec/SPI),0.9277850000000001,0.072215,CS pos: 24-25. VAA-SP. Pr: 0.4239
Cre08.g376000.t1.1,OTHER,0.000901,0.999099,
Cre08.g366676.t1.1,OTHER,0.004295,0.995705,
Cre08.g384950.t1.2,OTHER,0.0026190000000000002,0.997381,
Cre08.g363300.t1.2,OTHER,0.0011619999999999998,0.9988379999999999,
Cre08.g366101.t1.1,OTHER,0.0011710000000000002,0.9988290000000001,
Cre08.g373400.t1.2,OTHER,0.021263,0.9787370000000001,
