STDEV,Strain,DESeq
NCU16939,NCU04039,NCU02938
NCU03516,NCU11212,NCU04107
NCU06001,NCU05379,NCU04314
NCU06653,NCU07454,NCU03638
NCU07683,NCU03205,NCU01942
NCU01101,NCU06966,NCU07337
NCU05031,NCU03775,NCU05515
NCU04030,NCU05863,NCU05981
NCU09868,NCU02660,NCU03334
NCU02843,NCU01276,NCU02596
NCU08860,NCU06589,NCU04962
NCU06397,NCU07776,NCU09339
NCU09606,NCU07272,NCU11253
NCU05170,NCU05630,NCU02767
NCU01686,NCU07345,NCU10404
NCU08017,NCU03383,NCU07613
NCU00569,NCU16384,NCU17043
NCU08043,NCU06876,NCU09714
NCU01060,NCU02722,NCU02250
NCU04605,NCU00399,NCU03807
NCU10226,NCU02932,NCU05084
NCU02595,NCU17136,NCU09147
NCU01962,NCU08121,NCU00603
NCU10301,NCU07091,NCU09255
NCU03401,NCU16742,NCU03157
NCU16473,NCU06875,NCU01432
NCU04563,NCU17044,NCU06201
NCU01127,NCU07311,NCU00033
NCU16589,NCU07506,NCU01526
NCU05277,NCU05988,NCU07751
NCU07237,NCU08922,NCU00456
NCU07549,NCU03208,NCU05313
NCU08079,NCU11279,NCU12052
NCU02938,NCU04533,NCU01045
NCU06730,NCU03984,NCU08100
NCU04107,NCU04317,NCU04249
NCU00995,NCU02643,NCU10246
NCU04314,NCU09263,NCU04405
NCU06156,NCU02573,NCU02133
NCU03638,NCU02773,NCU09761
NCU01942,NCU04482,NCU17277
NCU07337,NCU00111,NCU00716
NCU05515,NCU05703,NCU02963
NCU05981,NCU06748,NCU05623
NCU03334,NCU06300,NCU00500
NCU10777,NCU08113,NCU08932
NCU02596,NCU08678,NCU16418
NCU03791,NCU07245,NCU16673
NCU08395,NCU08055,NCU01891
NCU11253,NCU04675,NCU07845
NCU05651,NCU04588,NCU07306
NCU02767,NCU09623,NCU16738
NCU10404,NCU00726,NCU08866
NCU07613,NCU07432,NCU17247
NCU17043,NCU05755,NCU07273
NCU09714,NCU02526,NCU01451
NCU02250,NCU07430,NCU02939
NCU03807,NCU06031,NCU08505
NCU05084,NCU02174,NCU06007
NCU02289,NCU02061,NCU12151
NCU00603,NCU08432,NCU16664
NCU09255,NCU01636,NCU08130
NCU03157,NCU02882,NCU09331
NCU01432,NCU08028,NCU08621
NCU06201,NCU02579,NCU01258
NCU09330,NCU09534,NCU07279
NCU08996,NCU04416,NCU09841
NCU04913,NCU08193,NCU08870
NCU00033,NCU10152,NCU00385
NCU09685,NCU10521,NCU06120
NCU00456,NCU06035,NCU05163
NCU00418,NCU05005,NCU03031
NCU03148,NCU09013,NCU03151
NCU08030,NCU00132,NCU02880
NCU05313,NCU04360,NCU01109
NCU17069,NCU06228,NCU16349
NCU12052,NCU05780,NCU16911
NCU01045,NCU01516,NCU08645
NCU08100,NCU02499,NCU08949
NCU04249,NCU07898,NCU06844
NCU05628,NCU10893,NCU03313
NCU10246,NCU02623,NCU08416
NCU04405,NCU06603,NCU05401
NCU02133,NCU03908,NCU09442
NCU09761,NCU05147,NCU07503
NCU00431,NCU04309,NCU09049
NCU00716,NCU06130,NCU00766
NCU02963,NCU08095,NCU09620
NCU05623,NCU01213,NCU04493
NCU10618,NCU02027,NCU00636
NCU00500,NCU09674,NCU10107
NCU08932,NCU04466,NCU16361
NCU16418,NCU07550,NCU06542
NCU10477,NCU00623,NCU03583
NCU09078,NCU02888,NCU07823
NCU16673,NCU00519,NCU17038
NCU01891,NCU07120,NCU08168
NCU07845,NCU05631,NCU16500
NCU07306,NCU00504,NCU07466
NCU01292,NCU06372,NCU04140
NCU04336,NCU02923,NCU07370
NCU16738,NCU04555,NCU07051
NCU05507,NCU12125,NCU09235
NCU08866,NCU00830,NCU09973
NCU17247,NCU02124,NCU04926
NCU07273,NCU09560,NCU08332
NCU01451,NCU07733,NCU06938
NCU16719,NCU16861,NCU16710
NCU08505,NCU01112,NCU00147
NCU01223,NCU07485,NCU17258
NCU06007,NCU05712,NCU00327
NCU12151,NCU11201,NCU09619
NCU16664,NCU07906,NCU05498
NCU08130,NCU11196,NCU07756
NCU00264,NCU00590,NCU03282
NCU02108,NCU00606,NCU00218
NCU09331,NCU07518,NCU08463
NCU01855,NCU07170,NCU04635
NCU08621,NCU05706,NCU08224
NCU02013,NCU05574,NCU16307
NCU01258,NCU07486,NCU00704
NCU09841,NCU07267,NCU17187
NCU08870,NCU02601,NCU07748
NCU00385,NCU07943,NCU00078
NCU04098,NCU00737,NCU04946
NCU06120,NCU05766,NCU04039
NCU05163,NCU05024,NCU11212
NCU03031,NCU16806,NCU16409
NCU08455,NCU00116,NCU07428
NCU03151,NCU17055,NCU05379
NCU02880,NCU09057,NCU03967
NCU01109,NCU06920,NCU07454
NCU01145,NCU10889,NCU02774
NCU16349,NCU00245,NCU06911
NCU16911,NCU00659,NCU03205
NCU08645,NCU08946,NCU01444
NCU08949,NCU12028,NCU06966
NCU06844,NCU04202,NCU03775
NCU03313,NCU09474,NCU07095
NCU08416,NCU05757,NCU05863
NCU05401,NCU07049,NCU02660
NCU06464,NCU07232,NCU01276
NCU09442,NCU04526,NCU16441
NCU07503,NCU09421,NCU06589
NCU05227,NCU01904,NCU07776
NCU02529,NCU08568,NCU07272
NCU09049,NCU01877,NCU05630
NCU00766,NCU04735,NCU06046
NCU04493,NCU02335,NCU07345
NCU00636,NCU02480,NCU03383
NCU07327,NCU08943,NCU16384
NCU10107,NCU03749,NCU06876
NCU16715,NCU00864,NCU09461
NCU03293,NCU04655,NCU03034
NCU16361,NCU05488,NCU09986
NCU06542,NCU08133,NCU02041
NCU03583,NCU17137,NCU01555
NCU07823,NCU09035,NCU06880
NCU17038,NCU08549,NCU02921
NCU08168,NCU17268,NCU16501
NCU16500,NCU17270,NCU02722
NCU07466,NCU00175,NCU06683
NCU04140,NCU01585,NCU08786
NCU07370,NCU01989,NCU00399
NCU07051,NCU00360,NCU02932
NCU09235,NCU01233,NCU02396
NCU09973,NCU06977,NCU17136
NCU04926,NCU04109,NCU08121
NCU08332,NCU01511,NCU07091
NCU16710,NCU08018,NCU16742
NCU00147,NCU08330,NCU06875
NCU17258,NCU01735,NCU17044
NCU03873,NCU03803,NCU07311
NCU00327,NCU17100,NCU07506
NCU05498,NCU10006,NCU11305
NCU07756,NCU09600,NCU05988
NCU03282,NCU05345,NCU08922
NCU08720,NCU02340,NCU03208
NCU00218,NCU07661,NCU11279
NCU06588,NCU02018,NCU09754
NCU06509,NCU10012,NCU09970
NCU08463,NCU09043,NCU04533
NCU04635,NCU06127,NCU03984
NCU08224,NCU05341,NCU04317
NCU08359,NCU05448,NCU02643
NCU16307,NCU06448,NCU09263
NCU00704,NCU08057,NCU02573
NCU17187,NCU09119,NCU05112
NCU03284,NCU07991,NCU08187
NCU00105,NCU03003,NCU06795
NCU07748,NCU09821,NCU06912
NCU00078,NCU17267,NCU02773
NCU04946,NCU03617,NCU02801
NCU16791,NCU09403,NCU08186
NCU10507,NCU10055,NCU02818
NCU04039,NCU03569,NCU00708
NCU11212,NCU09306,NCU09896
NCU04061,NCU03851,NCU04482
NCU05778,NCU06348,NCU00111
NCU07428,NCU11307,NCU02691
NCU05379,NCU03332,NCU05703
NCU03967,NCU06550,NCU06748
NCU07454,NCU08495,NCU05248
NCU09632,NCU07360,NCU06300
NCU02984,NCU10894,NCU07510
NCU02329,NCU04960,NCU09523
NCU02774,NCU06587,NCU08113
NCU03205,NCU03310,NCU09964
NCU01444,NCU05817,NCU08678
NCU06966,NCU08691,NCU07245
NCU03775,NCU01750,NCU08055
NCU07095,NCU04845,NCU02855
NCU05863,NCU05714,NCU04675
NCU02660,NCU02338,NCU04588
NCU01276,NCU01092,NCU09623
NCU05262,NCU16716,NCU07626
NCU16441,NCU00748,NCU00726
NCU06589,NCU07069,NCU07432
NCU07776,NCU06045,NCU05755
NCU07272,NCU03413,NCU02526
NCU05630,NCU09553,NCU07430
NCU07345,NCU06974,NCU04542
NCU03383,NCU03362,NCU09627
NCU16384,NCU07738,NCU06031
NCU05707,NCU01689,NCU09653
NCU06876,NCU01521,NCU00425
NCU09461,NCU05834,NCU02174
NCU09986,NCU03087,NCU02061
NCU02041,NCU07354,NCU08432
NCU01555,NCU09495,NCU02941
NCU06880,NCU02192,NCU01636
NCU16501,NCU09053,NCU02882
NCU02722,NCU01759,NCU08028
NCU07467,NCU01957,NCU02579
NCU07178,NCU01196,NCU09534
NCU04307,NCU07851,NCU04416
NCU06683,NCU04510,NCU08193
NCU08786,NCU09532,NCU10152
NCU00399,NCU12152,NCU10521
NCU02932,NCU02930,NCU17284
NCU02396,NCU08146,NCU06035
NCU17136,NCU16860,NCU05005
NCU00253,NCU09611,NCU12035
NCU08121,NCU07927,NCU09013
NCU07091,NCU00975,NCU00132
NCU04491,NCU08092,NCU05290
NCU08954,NCU04923,NCU04710
NCU16823,NCU02798,NCU08257
NCU16742,NCU09390,NCU04360
NCU06875,NCU06326,NCU06228
NCU02125,NCU05764,NCU03430
NCU04525,NCU06150,NCU05780
NCU17044,NCU06471,NCU05983
NCU07311,NCU07846,NCU01516
NCU07506,NCU11186,NCU01215
NCU04513,NCU01107,NCU08390
NCU11305,NCU04914,NCU02499
NCU05988,NCU04676,NCU05768
NCU05022,NCU01900,NCU06747
NCU08922,NCU17041,NCU07898
NCU02948,NCU04791,NCU10893
NCU16746,NCU07474,NCU01713
NCU03208,NCU09596,NCU03000
NCU11279,NCU04899,NCU02623
NCU09754,NCU09783,NCU03283
NCU03170,NCU10292,NCU00502
NCU04533,NCU02116,NCU06603
NCU03984,NCU09195,NCU03908
NCU04317,NCU09160,NCU05147
NCU02643,NCU16698,NCU04309
NCU09263,NCU01419,NCU06130
NCU02573,NCU09570,NCU08095
NCU07806,NCU04825,NCU01213
NCU06795,NCU09054,NCU02027
NCU06912,NCU03736,NCU09674
NCU02773,NCU09855,NCU04466
NCU02801,NCU02540,NCU16438
NCU02818,NCU12067,NCU07550
NCU00708,NCU06717,NCU00623
NCU09896,NCU10595,NCU16552
NCU04482,NCU09041,NCU02888
NCU03805,NCU00838,NCU04583
NCU00111,NCU00227,NCU00519
NCU02508,NCU02162,NCU09096
NCU02691,NCU04727,NCU07036
NCU05703,NCU04086,NCU07120
NCU06748,NCU08827,NCU02947
NCU05248,NCU03296,NCU06549
NCU04699,NCU05037,NCU05631
NCU05534,NCU09345,NCU00504
NCU06300,NCU09775,NCU06372
NCU01792,NCU09058,NCU02923
NCU09523,NCU06936,NCU02854
NCU09865,NCU07167,NCU12154
NCU08113,NCU03112,NCU04555
NCU09964,NCU05036,NCU12125
NCU08678,NCU01190,NCU00830
NCU00977,NCU06110,NCU09582
NCU01371,NCU11259,NCU02124
NCU07245,NCU17225,NCU00303
NCU08055,NCU09285,NCU09560
NCU01920,NCU03358,NCU07733
NCU08233,NCU00537,NCU01114
NCU10500,NCU07834,NCU04237
NCU00003,NCU01148,NCU16861
NCU02855,NCU04940,NCU01112
NCU01343,NCU02157,NCU07485
NCU04675,NCU10761,NCU05712
NCU04588,NCU07434,NCU11201
NCU08676,NCU02973,NCU07906
NCU09623,NCU07363,NCU02779
NCU07626,NCU04908,NCU08191
NCU06751,NCU00597,NCU06136
NCU00726,NCU04627,NCU05893
NCU07432,NCU04797,NCU00859
NCU05755,NCU00903,NCU11196
NCU02526,NCU02376,NCU00590
NCU03300,NCU09705,NCU00606
NCU07430,NCU07509,NCU07518
NCU09627,NCU00972,NCU07170
NCU06031,NCU08164,NCU06237
NCU09653,NCU04180,NCU16333
NCU00425,NCU04815,NCU05706
NCU02174,NCU04775,NCU05574
NCU02061,NCU02513,NCU07486
NCU08432,NCU09579,NCU07267
NCU02941,NCU05418,NCU04261
NCU01636,NCU01185,NCU02601
NCU02882,NCU01816,NCU07943
NCU06261,NCU00346,NCU00737
NCU05303,NCU05896,NCU01136
NCU01475,NCU04028,NCU09383
NCU08028,NCU06080,NCU06905
NCU09364,NCU03439,NCU03696
NCU02890,NCU08324,NCU05766
NCU02579,NCU09794,NCU04928
NCU09534,NCU00305,NCU05024
NCU11053,NCU09052,NCU16806
NCU04416,NCU02333,NCU00116
NCU00881,NCU06108,NCU17055
NCU08193,NCU01861,NCU09057
NCU10152,NCU08039,NCU06920
NCU10521,NCU06009,NCU10889
NCU06035,NCU04657,NCU06086
NCU00215,NCU05131,NCU06919
NCU05005,NCU09225,NCU00245
NCU12035,NCU01598,NCU07694
NCU09013,NCU09231,NCU05237
